Edge				Weight
226652 - 220417 	3929.610732 
246278 - 208693 	1780.870074 
246278 - 218919 	3894.949353 
279562 - 223135 	5153.968099 
139633 - 228492 	746.042847 
293324 - 239723 	1370.570770 
121593 - 240989 	4370.781869 
250209 - 244424 	1948.715121 
188208 - 117812 	2121.247539 
161338 - 161340 	192.354859 
283737 - 186845 	3114.528440 
215074 - 272614 	394.640674 
255636 - 246826 	491.069668 
258622 - 231780 	1882.486677 
141161 - 147122 	982.138423 
158379 - 158396 	725.119589 
157760 - 168717 	2000.646472 
2018371 - 272785 	592.301858 
273895 - 273807 	554.066914 
236543 - 286572 	2194.021513 
2021253 - 292582 	2208.705926 
2032033 - 297150 	273.995618 
2006564 - 2006470 	1169.902726 
297935 - 204902 	892.497469 
276098 - 275558 	834.909974 
273157 - 206944 	3779.624904 
136858 - 245564 	849.916906 
234355 - 101066 	3122.087678 
153586 - 143313 	2055.147117 
165679 - 146737 	738.321957 
150883 - 160217 	908.998121 
140621 - 170679 	272.082116 
212810 - 186254 	2640.713269 
2002104 - 2002103 	45.882448 
231780 - 2019128 	352.931872 
2035527 - 2028551 	2686.101235 
136924 - 2030294 	1434.394012 
222806 - 102126 	502.049870 
107615 - 107457 	1555.021335 
108295 - 108229 	2691.366263 
240130 - 116439 	4495.338994 
348159 - 138060 	3897.115368 
152741 - 143908 	606.595157 
2016934 - 148237 	3466.916061 
212106 - 258432 	1442.698745 
2007610 - 2036086 	1394.724403 
205795 - 205008 	1452.815475 
234312 - 207606 	2824.975603 
104443 - 103119 	1160.381199 
107174 - 108195 	440.329544 
290057 - 122937 	1004.479059 
216279 - 129181 	764.014530 
142354 - 140621 	1435.818222 
226259 - 171793 	48849.801930 
213259 - 269901 	1304.456534 
296161 - 295195 	1104.237432 
228084 - 301210 	827.614759 
2012618 - 2013102 	1369.685789 
120025 - 120057 	159.001545 
129347 - 232535 	3595.717294 
283737 - 120025 	2596.397518 
129181 - 128974 	1060.667590 
133695 - 133561 	2881.669110 
267165 - 268072 	1147.182102 
215925 - 2014478 	1880.254451 
347814 - 207081 	3836.642470 
100421 - 219863 	1344.771512 
256851 - 243199 	1948.308403 
2021251 - 100421 	2715.923847 
110973 - 103842 	1313.220385 
110600 - 110486 	1845.153837 
120057 - 284176 	3223.247360 
236609 - 2035060 	2510.958324 
185399 - 212150 	2983.151896 
